dataset,model,size,split,metric,mean,std
cleveland,logistic_regression,242,val,f1,0.8227568383202001,0.05882392009948857
cleveland,logistic_regression,242,val,recall,0.7924867724867726,0.07924126880025725
cleveland,random_forest,24,train,f1,0.994616977225673,0.014893886718362474
cleveland,random_forest,24,train,recall,0.9963636363636365,0.01818181818181817
cleveland,random_forest,24,val,f1,0.7462082874102265,0.048937305921658854
cleveland,random_forest,24,val,recall,0.7216402116402116,0.07109514575754765
cleveland,random_forest,48,train,f1,0.9900164435048155,0.013239458114842544
cleveland,random_forest,48,train,recall,0.990909090909091,0.01855674047563016
cleveland,random_forest,48,val,f1,0.7802928721087927,0.06019278037078045
cleveland,random_forest,48,val,recall,0.7662433862433862,0.0857100669591267
cleveland,random_forest,72,train,f1,0.9853559633956912,0.01513320356284273
cleveland,random_forest,72,train,recall,0.9842424242424243,0.024927197331824358
cleveland,random_forest,72,val,f1,0.7840760985630244,0.052634421832653114
cleveland,random_forest,72,val,recall,0.7664021164021164,0.0790336997158183
cleveland,random_forest,96,train,f1,0.985442561637204,0.01062807550382068
cleveland,random_forest,96,train,recall,0.9845454545454545,0.014253702819868787
cleveland,random_forest,96,val,f1,0.7959443768172324,0.052853671448309006
cleveland,random_forest,96,val,recall,0.7838624338624338,0.07710252294475395
cleveland,random_forest,121,train,f1,0.9854067609847427,0.00836740699112056
cleveland,random_forest,121,train,recall,0.9832727272727273,0.013807013030175182
cleveland,random_forest,121,val,f1,0.802957092693457,0.0601882761001927
cleveland,random_forest,121,val,recall,0.7865608465608466,0.08217742742569853
cleveland,random_forest,145,train,f1,0.9894138901521115,0.007575820513209876
cleveland,random_forest,145,train,recall,0.9915151515151515,0.010784927527304394
cleveland,random_forest,145,val,f1,0.7986633215628699,0.05391390310038705
cleveland,random_forest,145,val,recall,0.7778835978835978,0.07909263938757431
cleveland,random_forest,169,train,f1,0.987535207316292,0.006177019671295698
cleveland,random_forest,169,train,recall,0.9875324675324676,0.008776248888620483
cleveland,random_forest,169,val,f1,0.8045536048613988,0.06702388523257713
cleveland,random_forest,169,val,recall,0.7764021164021164,0.08909156499332307
cleveland,random_forest,193,train,f1,0.9863578373184473,0.005200121311689261
cleveland,random_forest,193,train,recall,0.9863636363636364,0.009278370237815104
cleveland,random_forest,193,val,f1,0.808409376753621,0.05475759352727192
cleveland,random_forest,193,val,recall,0.785079365079365,0.07239281555988826
cleveland,random_forest,217,train,f1,0.9842577646164993,0.0052947537218420585
cleveland,random_forest,217,train,recall,0.9846464646464647,0.008309065777274813
cleveland,random_forest,217,val,f1,0.7999298370848444,0.05775257941340624
cleveland,random_forest,217,val,recall,0.7794179894179893,0.07743113282716321
cleveland,random_forest,242,train,f1,0.9827999619525801,0.004309745918360255
cleveland,random_forest,242,train,recall,0.982981162981163,0.005999006295097297
cleveland,random_forest,242,val,f1,0.8049025607310321,0.059136132868683904
cleveland,random_forest,242,val,recall,0.7807407407407407,0.07147375114365218
