variant,overall_recall,overall_precision,overall_f1,balanced_accuracy,recall_gap,fpr_gap,recall_18-44,fpr_18-44,recall_45-59,fpr_45-59,recall_60+,fpr_60+
Baseline LR,0.7970286670851643,0.24814332247557003,0.37845893983804463,0.772951307235382,0.6769651464590285,0.44141078371115183,0.18620689655172415,0.016762363400629747,0.62472647702407,0.13312799452429844,0.8631720430107527,0.4581731471117816
Age removed,0.7480644486294203,0.23530573290331072,0.3580012016823553,0.7476314583813377,0.2952817945865777,0.27637261505801697,0.4689655172413793,0.08899796258566402,0.7264770240700219,0.21553730321697467,0.764247311827957,0.36537057764368097
ThresholdOptimizer,0.7668968403431681,0.21959257040143798,0.34142251618612884,0.7417398665236088,0.03832035595105676,0.11479493839647159,0.7310344827586207,0.23106130764956473,0.762582056892779,0.23429158110882956,0.7693548387096775,0.3458562460460363
