dataset,model,recall,recall_sd,f1,f1_sd,auc,auc_sd,non_nested_f1,non_nested_params
Cleveland (corrected),random_forest,0.786084656084656,0.07773819314458887,0.8075521701667127,0.051162633778488564,0.9100737534070866,0.03378417063221927,0.8080009015100291,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
Cleveland (corrected),logistic_regression,0.7942063492063492,0.08598497739563876,0.8222031264093331,0.05769596514666656,0.9147009780343113,0.03474669940889941,0.8374424983883111,{'model__C': 0.1}
