,0
cp,0.19692102631180017
thal,0.14033085128770292
oldpeak,0.12766300022647464
thalach,0.12054398632660922
exang,0.07398157001510956
ca,0.07137149614842145
age,0.06563101506990925
slope,0.06173183700519427
trestbps,0.053641441279287196
chol,0.047077735122204395
sex,0.026207172521467495
restecg,0.009850943320021649
fbs,0.0050479253657975875
