dataset,model,fold,size,split,f1,recall
cleveland,random_forest,1,72,train,1.0,1.0
cleveland,random_forest,1,72,val,0.8135593220338984,0.8571428571428571
cleveland,logistic_regression,1,72,train,0.835820895522388,0.8484848484848485
cleveland,logistic_regression,1,72,val,0.8524590163934426,0.9285714285714286
cleveland,random_forest,1,96,train,0.9885057471264368,0.9772727272727273
cleveland,random_forest,1,96,val,0.8387096774193549,0.9285714285714286
cleveland,logistic_regression,1,96,train,0.8444444444444444,0.8636363636363636
cleveland,logistic_regression,1,96,val,0.8333333333333334,0.8928571428571429
cleveland,random_forest,1,121,train,0.9724770642201835,0.9636363636363636
cleveland,random_forest,1,121,val,0.8620689655172413,0.8928571428571429
cleveland,logistic_regression,1,121,train,0.8545454545454545,0.8545454545454545
cleveland,logistic_regression,1,121,val,0.8620689655172413,0.8928571428571429
cleveland,random_forest,1,145,train,0.9696969696969697,0.9696969696969697
cleveland,random_forest,1,145,val,0.8421052631578947,0.8571428571428571
cleveland,logistic_regression,1,145,train,0.8769230769230769,0.8636363636363636
cleveland,logistic_regression,1,145,val,0.8275862068965517,0.8571428571428571
cleveland,random_forest,1,169,train,0.9803921568627451,0.974025974025974
cleveland,random_forest,1,169,val,0.8620689655172413,0.8928571428571429
cleveland,logistic_regression,1,169,train,0.8552631578947368,0.8441558441558441
cleveland,logistic_regression,1,169,val,0.8421052631578947,0.8571428571428571
cleveland,random_forest,1,193,train,0.9828571428571429,0.9772727272727273
cleveland,random_forest,1,193,val,0.8275862068965517,0.8571428571428571
cleveland,logistic_regression,1,193,train,0.8654970760233918,0.8409090909090909
cleveland,logistic_regression,1,193,val,0.8275862068965517,0.8571428571428571
cleveland,random_forest,1,217,train,0.9795918367346939,0.9696969696969697
cleveland,random_forest,1,217,val,0.8421052631578947,0.8571428571428571
cleveland,logistic_regression,1,217,train,0.8601036269430051,0.8383838383838383
cleveland,logistic_regression,1,217,val,0.8421052631578947,0.8571428571428571
cleveland,random_forest,1,242,train,0.9863013698630136,0.9818181818181818
cleveland,random_forest,1,242,val,0.8275862068965517,0.8571428571428571
cleveland,logistic_regression,1,242,train,0.8611111111111112,0.8454545454545455
cleveland,logistic_regression,1,242,val,0.8771929824561403,0.8928571428571429
cleveland,random_forest,2,24,train,1.0,1.0
cleveland,random_forest,2,24,val,0.6296296296296297,0.6071428571428571
cleveland,logistic_regression,2,24,train,0.9523809523809523,0.9090909090909091
cleveland,logistic_regression,2,24,val,0.6666666666666666,0.6785714285714286
cleveland,random_forest,2,48,train,0.9777777777777777,1.0
cleveland,random_forest,2,48,val,0.6415094339622641,0.6071428571428571
cleveland,logistic_regression,2,48,train,0.9047619047619048,0.8636363636363636
cleveland,logistic_regression,2,48,val,0.6545454545454545,0.6428571428571429
cleveland,random_forest,2,72,train,0.9850746268656716,1.0
cleveland,random_forest,2,72,val,0.64,0.5714285714285714
cleveland,logistic_regression,2,72,train,0.84375,0.8181818181818182
cleveland,logistic_regression,2,72,val,0.6938775510204082,0.6071428571428571
cleveland,random_forest,2,96,train,0.9887640449438202,1.0
cleveland,random_forest,2,96,val,0.6530612244897959,0.5714285714285714
cleveland,logistic_regression,2,96,train,0.8636363636363636,0.8636363636363636
cleveland,logistic_regression,2,96,val,0.7346938775510204,0.6428571428571429
cleveland,random_forest,2,121,train,0.990990990990991,1.0
cleveland,random_forest,2,121,val,0.6666666666666666,0.5714285714285714
cleveland,logistic_regression,2,121,train,0.8518518518518519,0.8363636363636363
cleveland,logistic_regression,2,121,val,0.6938775510204082,0.6071428571428571
cleveland,random_forest,2,145,train,0.9924812030075187,1.0
cleveland,random_forest,2,145,val,0.7083333333333334,0.6071428571428571
cleveland,logistic_regression,2,145,train,0.8769230769230769,0.8636363636363636
cleveland,logistic_regression,2,145,val,0.7058823529411765,0.6428571428571429
cleveland,random_forest,2,169,train,0.987012987012987,0.987012987012987
cleveland,random_forest,2,169,val,0.6530612244897959,0.5714285714285714
cleveland,logistic_regression,2,169,train,0.881578947368421,0.8701298701298701
cleveland,logistic_regression,2,169,val,0.6938775510204082,0.6071428571428571
cleveland,random_forest,2,193,train,0.9886363636363636,0.9886363636363636
cleveland,random_forest,2,193,val,0.68,0.6071428571428571
cleveland,logistic_regression,2,193,train,0.872093023255814,0.8522727272727273
cleveland,logistic_regression,2,193,val,0.6938775510204082,0.6071428571428571
cleveland,random_forest,2,217,train,0.98,0.98989898989899
cleveland,random_forest,2,217,val,0.68,0.6071428571428571
cleveland,logistic_regression,2,217,train,0.8762886597938144,0.8585858585858586
cleveland,logistic_regression,2,217,val,0.7058823529411765,0.6428571428571429
cleveland,random_forest,2,242,train,0.9819819819819819,0.990909090909091
cleveland,random_forest,2,242,val,0.6923076923076923,0.6428571428571429
cleveland,logistic_regression,2,242,train,0.8888888888888888,0.8727272727272727
cleveland,logistic_regression,2,242,val,0.6938775510204082,0.6071428571428571
cleveland,random_forest,3,24,train,1.0,1.0
cleveland,random_forest,3,24,val,0.7058823529411765,0.6666666666666666
cleveland,logistic_regression,3,24,train,1.0,1.0
cleveland,logistic_regression,3,24,val,0.7017543859649122,0.7407407407407407
cleveland,random_forest,3,48,train,1.0,1.0
cleveland,random_forest,3,48,val,0.7924528301886793,0.7777777777777778
cleveland,logistic_regression,3,48,train,0.9090909090909091,0.9090909090909091
cleveland,logistic_regression,3,48,val,0.6938775510204082,0.6296296296296297
cleveland,random_forest,3,72,train,0.9850746268656716,1.0
cleveland,random_forest,3,72,val,0.8076923076923077,0.7777777777777778
cleveland,logistic_regression,3,72,train,0.8923076923076924,0.8787878787878788
cleveland,logistic_regression,3,72,val,0.7346938775510204,0.6666666666666666
cleveland,random_forest,3,96,train,0.9887640449438202,1.0
cleveland,random_forest,3,96,val,0.84,0.7777777777777778
cleveland,logistic_regression,3,96,train,0.8705882352941177,0.8409090909090909
cleveland,logistic_regression,3,96,val,0.7450980392156863,0.7037037037037037
cleveland,random_forest,3,121,train,0.9818181818181818,0.9818181818181818
cleveland,random_forest,3,121,val,0.7924528301886793,0.7777777777777778
cleveland,logistic_regression,3,121,train,0.8703703703703703,0.8545454545454545
cleveland,logistic_regression,3,121,val,0.7450980392156863,0.7037037037037037
cleveland,random_forest,3,145,train,0.9848484848484849,0.9848484848484849
cleveland,random_forest,3,145,val,0.76,0.7037037037037037
cleveland,logistic_regression,3,145,train,0.8527131782945736,0.8333333333333334
cleveland,logistic_regression,3,145,val,0.7843137254901961,0.7407407407407407
cleveland,random_forest,3,169,train,0.9868421052631579,0.974025974025974
cleveland,random_forest,3,169,val,0.7692307692307693,0.7407407407407407
cleveland,logistic_regression,3,169,train,0.8533333333333334,0.8311688311688312
cleveland,logistic_regression,3,169,val,0.7843137254901961,0.7407407407407407
cleveland,random_forest,3,193,train,0.9886363636363636,0.9886363636363636
cleveland,random_forest,3,193,val,0.8076923076923077,0.7777777777777778
cleveland,logistic_regression,3,193,train,0.8439306358381503,0.8295454545454546
cleveland,logistic_regression,3,193,val,0.8076923076923077,0.7777777777777778
cleveland,random_forest,3,217,train,0.98,0.98989898989899
cleveland,random_forest,3,217,val,0.8076923076923077,0.7777777777777778
cleveland,logistic_regression,3,217,train,0.837696335078534,0.8080808080808081
cleveland,logistic_regression,3,217,val,0.8076923076923077,0.7777777777777778
cleveland,random_forest,3,242,train,0.9818181818181818,0.972972972972973
cleveland,random_forest,3,242,val,0.8235294117647058,0.7777777777777778
cleveland,logistic_regression,3,242,train,0.8356807511737089,0.8018018018018018
cleveland,logistic_regression,3,242,val,0.8076923076923077,0.7777777777777778
cleveland,random_forest,4,24,train,1.0,1.0
